Info_type,Key,Value
GAME_INFO,Number of Players,2 - –4
GAME_INFO,Play Time,45 - –75
GAME_INFO,Suggested Age,12
GAME_INFO,Release Year,2017
GAME STATS,Avg. Rating,7.730
GAME STATS,No. of Ratings,"14,688"
GAME STATS,Std. Deviation,1.13
GAME STATS,Weight,2.89 / 5
GAME STATS,Comments,"2,121"
GAME STATS,Fans,690
GAME STATS,Page Views,"897,573"
GAME RANKS,Overall Rank,"154
Historical Rank"
GAME RANKS,Strategy Rank,"123
Historical Rank"
PLAY STATS,All Time Plays,"59,331"
PLAY STATS,This Month,133
COLLECTION STATS,Own,"19,540"
COLLECTION STATS,Prev. Owned,"2,049"
COLLECTION STATS,For Trade,"194
Find For-Trade Matches"
COLLECTION STATS,Want In Trade,"676
Find Want-in-Trade Matches"
COLLECTION STATS,Wishlist,"3,805"
PARTS EXCHANGE,Has Parts,11
PARTS EXCHANGE,Want Parts,4
